dataset,split,model,seed,train_accuracy,train_f1,train_mcc,train_auprc,train_auroc,valid_accuracy,valid_f1,valid_mcc,valid_auprc,valid_auroc,test_accuracy,test_f1,test_mcc,test_auprc,test_auroc,train_brier,train_nll,train_ece,valid_brier,valid_nll,valid_ece,test_brier,test_nll,test_ece,train_mae,train_rmse,train_r2,valid_mae,valid_rmse,valid_r2,test_mae,test_rmse,test_r2,best_epoch,train_loss,train_runtime,train_samples_per_second,train_steps_per_second,train_epoch,valid_loss,valid_runtime,valid_samples_per_second,valid_steps_per_second,valid_epoch,test_loss,test_runtime,test_samples_per_second,test_steps_per_second,test_epoch
Lipophilicity,random,gin,42,,,,,,,,,,,,,,,,,,,,,,,,,0.5021588207516331,0.6422340647207766,0.7074612858765515,0.6327043648809194,0.8218899507871141,0.5766022140627246,0.5694397084281912,0.7237393641675711,0.670333517590458,69.0,,,,,,,,,,,,,,,
Lipophilicity,random,xgboost,42,,,,,,,,,,,,,,,,,,,,,,,,,0.3175218290564391,0.410258861283767,0.8806252118888922,0.6829415257566033,0.8827882929605004,0.5115339589809231,0.6123303122039707,0.8106815533606115,0.5863709924222719,,,,,,,,,,,,,,,,
Lipophilicity,random,mlp,42,,,,,,,,,,,,,,,,,,,,,,,,,0.1265389128848688,0.1656064881042216,0.980548577435915,0.6172684954213244,0.8339647152334612,0.5640701638765406,0.6001906605925234,0.8224664320564101,0.5742577327122838,31.0,,,,,,,,,,,,,,,
Lipophilicity,random,random_forest,42,,,,,,,,,,,,,,,,,,,,,,,,,0.2246405520463997,0.2982544670384499,0.9369085386136684,0.6891190490929707,0.9002560517475685,0.4920121267431231,0.6411080673658348,0.8726155683497185,0.5207564020770283,,,,,,,,,,,,,,,,
Lipophilicity,scaffold,gin,42,,,,,,,,,,,,,,,,,,,,,,,,,0.482596024933515,0.6175693969592476,0.7384693098092834,0.5959521733046997,0.7627715656753962,0.5791932222207111,0.5753846369639394,0.7383255332843903,0.61446274641228,77.0,,,,,,,,,,,,,,,
Lipophilicity,scaffold,xgboost,42,,,,,,,,,,,,,,,,,,,,,,,,,0.3113484965808179,0.4052468845094726,0.8873864898334568,0.7095579539533882,0.91484364586492,0.3946765643427691,0.6811525605635806,0.8842659146496404,0.4469857201747714,,,,,,,,,,,,,,,,
Lipophilicity,scaffold,mlp,42,,,,,,,,,,,,,,,,,,,,,,,,,0.133035744665124,0.1752558595399033,0.9789381642984596,0.6983686116124902,0.9166194228729536,0.3923243321593933,0.6964468811017771,0.9030943705114716,0.4231846037574075,33.0,,,,,,,,,,,,,,,
Lipophilicity,scaffold,chemberta,42,,,,,,,,,,,,,,,,,,,,,,,,,0.6034846305847168,0.7737985789220149,0.5894112586975098,0.6869093179702759,0.8752655579993757,0.4459187388420105,0.7230210304260254,0.9122729267136211,0.4114001393318176,,0.5987642407417297,3.4373,977.505,61.094,10.0,0.7660898566246033,0.4305,975.598,62.717,10.0,0.832241952419281,0.4384,957.99,61.585,10.0
Lipophilicity,scaffold,random_forest,42,,,,,,,,,,,,,,,,,,,,,,,,,0.2184313821830124,0.2940025112401736,0.9407275053460364,0.7361182091836735,0.9417056029918036,0.3586072520295337,0.7373999208685497,0.962009792711872,0.345469992488736,,,,,,,,,,,,,,,,
Solubility,random,gin,42,,,,,,,,,,,,,,,,,,,,,,,,,0.7762171192598543,1.0797905004546706,0.7934843970281286,0.8626541034369832,1.1663382131154638,0.756603320394151,0.8605574892803064,1.196747625590494,0.7304828975890535,57.0,,,,,,,,,,,,,,,
Solubility,random,mlp,42,,,,,,,,,,,,,,,,,,,,,,,,,0.2911878211462244,0.4533612490602962,0.9635948640505566,0.9224761986590824,1.2931580046205224,0.7007950152348044,0.9452166554333458,1.322603478839434,0.6708146484322846,15.0,,,,,,,,,,,,,,,
Solubility,random,random_forest,42,,,,,,,,,,,,,,,,,,,,,,,,,0.3707923182029698,0.5394550333648999,0.9484552586575558,0.9480399395219996,1.3406738541860916,0.6784030503983471,0.967780256073456,1.3341378319794095,0.6650479967290766,,,,,,,,,,,,,,,,
Solubility,random,xgboost,42,,,,,,,,,,,,,,,,,,,,,,,,,0.7356920373382365,1.0041983612197922,0.8213870752610468,0.9868112324121828,1.340734879919769,0.6783737723805734,1.0282083063848069,1.386656497837024,0.6381580105298557,,,,,,,,,,,,,,,,
Solubility,scaffold,xgboost,42,,,,,,,,,,,,,,,,,,,,,,,,,0.6953493669982539,0.9626152680655272,0.8362843716971248,1.291215751638896,1.6838369338631285,0.4053956354299984,1.4694867086158336,1.8860449836987152,0.3167898346824526,,,,,,,,,,,,,,,,
Solubility,scaffold,gin,42,,,,,,,,,,,,,,,,,,,,,,,,,1.2626134381056853,1.6503236470419609,0.5188030213796944,1.4111401289122885,1.8174762193760572,0.3072675944169984,1.5116874925189514,1.9342677021773709,0.2814063270905078,2.0,,,,,,,,,,,,,,,
Solubility,scaffold,mlp,42,,,,,,,,,,,,,,,,,,,,,,,,,0.5929245170202916,0.8322778690504768,0.8776169310366876,1.2813939070702345,1.6858882035906422,0.4039460454473458,1.4953332776509063,1.950171710889256,0.269540850532994,3.0,,,,,,,,,,,,,,,
Solubility,scaffold,random_forest,42,,,,,,,,,,,,,,,,,,,,,,,,,0.3437156027896663,0.5098828940670971,0.95406692376459,1.3734497685587796,1.828993294842829,0.2984602932183948,1.5569901363063594,2.026794624112159,0.2110132437945109,,,,,,,,,,,,,,,,
