dataset,split,model,seed,inside_n,outside_n,inside_auroc,outside_auroc,auroc_gap,inside_rmse,outside_rmse,rmse_gap
BBBP,random,random_forest,42,127,71,0.9735735735735735,0.7583333333333333,0.21524024024024024,,,
BBBP,random,xgboost,42,127,71,0.9726726726726728,0.7060606060606062,0.2666120666120666,,,
BBBP,scaffold,chemberta,42,66,132,0.921487603305785,0.7278659611992946,0.19362164210649047,,,
BBBP,scaffold,random_forest,42,66,132,0.9426652892561984,0.801058201058201,0.1416070881979974,,,
BBBP,scaffold,xgboost,42,66,132,0.9411157024793388,0.7813051146384479,0.15981058784089097,,,
ClinTox,random,random_forest,42,76,71,0.9154929577464788,0.8348484848484848,0.08064447289799392,,,
ClinTox,random,xgboost,42,76,71,0.96056338028169,0.7212121212121212,0.23935125906956878,,,
ClinTox,scaffold,random_forest,42,43,103,0.9085365853658536,0.7055860805860806,0.20295050477977294,,,
ClinTox,scaffold,xgboost,42,43,103,0.8048780487804877,0.7518315018315018,0.05304654694898592,,,
Lipophilicity,scaffold,chemberta,42,233,187,,,,0.8193005520201669,1.0162833721149749,0.19698282009480794
Tox21_NR-AR,random,random_forest,42,474,253,0.6414473684210527,0.6891435011269722,-0.04769613270591955,,,
Tox21_NR-AR,random,xgboost,42,474,253,0.7077850877192983,0.695717505634861,0.012067582084437256,,,
Tox21_NR-AR,scaffold,random_forest,42,231,496,0.8118153364632238,0.7181387077652638,0.09367662869796001,,,
Tox21_NR-AR,scaffold,xgboost,42,231,496,0.8675013041210224,0.6240367516301126,0.2434645524909098,,,
Tox21_SR-p53,random,random_forest,42,450,228,0.8650135409614083,0.7752472969864275,0.08976624397498079,,,
Tox21_SR-p53,random,xgboost,42,450,228,0.8426709546377793,0.8028525419829767,0.03981841265480257,,,
Tox21_SR-p53,scaffold,random_forest,42,200,478,0.8301714285714286,0.7161655832430481,0.11400584532838043,,,
Tox21_SR-p53,scaffold,xgboost,42,200,478,0.8304,0.7259841097869266,0.1044158902130734,,,
